record_00001 value_037
record_00305 value_285
record_00306 value_322
record_00307 value_359
record_00308 value_396
record_00309 value_433
record_00310 value_470
record_00311 value_507
record_00312 value_544
record_00313 value_581
record_00314 value_618
record_00315 value_655
record_00316 value_692
record_00317 value_729
record_00318 value_766
record_00319 value_803
record_00320 value_840
record_00321 value_877
record_00322 value_914
record_00323 value_951
record_00324 value_988
record_00325 value_025
record_00326 value_062
record_00327 value_099
record_00328 value_136
record_00329 value_173
record_00330 value_210
record_00331 value_247
record_00332 value_284
record_00333 value_321
record_00334 value_358
record_00335 value_395
record_00336 value_432
record_00337 value_469
record_00338 value_506
record_00339 value_543
record_00340 value_580
record_00341 value_617
record_00342 value_654
record_00343 value_691
record_00344 value_728
record_00345 value_765
record_00346 value_802
record_00347 value_839
record_00348 value_876
record_00349 value_913
record_00350 value_950
record_00351 value_987
record_00352 value_024
record_00353 value_061
record_00354 value_098
record_00355 value_135
record_00356 value_172
record_00357 value_209
record_00358 value_246
record_00359 value_283
record_00360 value_320
record_00361 value_357
record_00362 value_394
record_00363 value_431
record_00364 value_468
record_00365 value_505
record_00366 value_542
record_00367 value_579
record_00368 value_616
record_00369 value_653
record_00370 value_690
record_00371 value_727
record_00372 value_764
record_00373 value_801
record_00374 value_838
record_00375 value_875
record_00376 value_912
record_00377 value_949
record_00378 value_986
record_00379 value_023
record_00380 value_060
record_00381 value_097
record_00382 value_134
record_00383 value_171
record_00384 value_208
record_00385 value_245
record_00386 value_282
record_00387 value_319
record_00388 value_356
record_00389 value_393
record_00390 value_430
record_00391 value_467
record_00392 value_504
record_00393 value_541
record_00394 value_578
record_00395 value_615
record_00396 value_652
record_00397 value_689
record_00398 value_726
record_00399 value_763
record_00400 value_800
record_00401 value_837
record_00402 value_874
record_00403 value_911
record_00404 value_948
record_00405 value_985
record_00406 value_022
record_00407 value_059
record_00408 value_096
record_00409 value_133
record_00410 value_170
record_00411 value_207
record_00412 value_244
record_00413 value_281
record_00414 value_318
record_00415 value_355
record_00416 value_392
record_00417 value_429
record_00418 value_466
record_00419 value_503
record_00420 value_540
record_00421 value_577
record_00422 value_614
record_00423 value_651
record_00424 value_688
record_00425 value_725
record_00426 value_762
record_00427 value_799
record_00428 value_836
record_00429 value_873
record_00430 value_910
record_00431 value_947
record_00432 value_984
record_00433 value_021
record_00434 value_058
record_00435 value_095
record_00436 value_132
record_00437 value_169
record_00438 value_206
record_00439 value_243
record_00440 value_280
record_00441 value_317
record_00442 value_354
record_00443 value_391
record_00444 value_428
record_00445 value_465
record_00446 value_502
record_00447 value_539
record_00448 value_576
record_00449 value_613
record_00450 value_650
record_00451 value_687
record_00452 value_724
record_00453 value_761
record_00454 value_798
record_00455 value_835
record_00456 value_872
record_00457 value_909
record_00458 value_946
record_00459 value_983
record_00460 value_020
record_00461 value_057
record_00462 value_094
record_00463 value_131
record_00464 value_168
record_00465 value_205
record_00466 value_242
record_00467 value_279
record_00468 value_316
record_00469 value_353
record_00470 value_390
record_00471 value_427
record_00472 value_464
record_00473 value_501
record_00474 value_538
record_00475 value_575
record_00476 value_612
record_00477 value_649
record_00478 value_686
record_00479 value_723
record_00480 value_760
record_00481 value_797
record_00482 value_834
record_00483 value_871
record_00484 value_908
record_00485 value_945
record_00486 value_982
record_00487 value_019
record_00488 value_056
record_00489 value_093
record_00490 value_130
record_00491 value_167
record_00492 value_204
record_00493 value_241
record_00494 value_278
record_00495 value_315
record_00496 value_352
record_00497 value_389
record_00498 value_426
record_00499 value_463
record_00500 value_500
record_00501 value_537
record_00502 value_574
record_00503 value_611
record_00504 value_648
record_00505 value_685
record_00506 value_722
record_00507 value_759
record_00508 value_796
record_00509 value_833
record_00510 value_870
record_00511 value_907
record_00512 value_944
record_00513 value_981
record_00514 value_018
record_00515 value_055
record_00516 value_092
record_00517 value_129
record_00518 value_166
record_00519 value_203
record_00520 value_240
record_00521 value_277
record_00522 value_314
record_00523 value_351
record_00524 value_388
record_00525 value_425
record_00526 value_462
record_00527 value_499
record_00528 value_536
record_00529 value_573
record_00530 value_610
record_00531 value_647
record_00532 value_684
record_00533 value_721
record_00534 value_758
record_00535 value_795
record_00536 value_832
record_00537 value_869
record_00538 value_906
record_00539 value_943
record_00540 value_980
record_00541 value_017
record_00542 value_054
record_00543 value_091
record_00544 value_128
record_00545 value_165
record_00546 value_202
record_00547 value_239
record_00548 value_276
record_00549 value_313
record_00550 value_350
record_00551 value_387
record_00552 value_424
record_00553 value_461
record_00554 value_498
record_00555 value_535
record_00556 value_572
record_00557 value_609
record_00558 value_646
record_00559 value_683
record_00560 value_720
record_00561 value_757
record_00562 value_794
record_00563 value_831
record_00564 value_868
record_00565 value_905
record_00566 value_942
record_00567 value_979
record_00568 value_016
record_00569 value_053
record_00570 value_090
record_00571 value_127
record_00572 value_164
record_00573 value_201
record_00574 value_238
record_00575 value_275
record_00576 value_312
record_00577 value_349
record_00578 value_386
record_00579 value_423
record_00580 value_460
record_00581 value_497
record_00582 value_534
record_00583 value_571
record_00584 value_608
record_00585 value_645
record_00586 value_682
record_00587 value_719
record_00588 value_756
record_00589 value_793
record_00590 value_830
record_00591 value_867
record_00592 value_904
record_00593 value_941
record_00594 value_978
record_00595 value_015
record_00596 value_052
record_00597 value_089
record_00598 value_126
record_00599 value_163
record_00600 value_200
record_00601 value_237
record_00602 value_274
record_00603 value_311
record_00604 value_348
record_00605 value_385
record_00606 value_422
record_00607 value_459
record_00608 value_496
record_00609 value_533
record_00610 value_570
record_00611 value_607
record_00612 value_644
record_00613 value_681
record_00614 value_718
record_00615 value_755
record_00616 value_792
record_00617 value_829
record_00618 value_866
record_00619 value_903
record_00620 value_940
record_00621 value_977
record_00622 value_014
record_00623 value_051
record_00624 value_088
record_00625 value_125
record_00626 value_162
record_00627 value_199
record_00628 value_236
record_00629 value_273
record_00630 value_310
record_00631 value_347
record_00632 value_384
record_00633 value_421
record_00634 value_458
record_00635 value_495
record_00636 value_532
record_00637 value_569
record_00638 value_606
record_00639 value_643
record_00640 value_680
record_00641 value_717
record_00642 value_754
record_00643 value_791
record_00644 value_828
record_00645 value_865
record_00646 value_902
record_00647 value_939
record_00648 value_976
record_00649 value_013
record_00650 value_050
record_00651 value_087
record_00652 value_124
record_00653 value_161
record_00654 value_198
record_00655 value_235
record_00656 value_272
record_00657 value_309
record_00658 value_346
record_00659 value_383
record_00660 value_420
record_00661 value_457
record_00662 value_494
record_00663 value_531
record_00664 value_568
record_00665 value_605
record_00666 value_642
record_00667 value_679
record_00668 value_716
record_00669 value_753
record_00670 value_790
record_00671 value_827
record_00672 value_864
record_00673 value_901
record_00674 value_938
record_00675 value_975
record_00676 value_012
record_00677 value_049
record_00678 value_086
record_00679 value_123
record_00680 value_160
record_00681 value_197
record_00682 value_234
record_00683 value_271
record_00684 value_308
record_00685 value_345
record_00686 value_382
record_00687 value_419
record_00688 value_456
record_00689 value_493
record_00690 value_530
record_00691 value_567
record_00692 value_604
record_00693 value_641
record_00694 value_678
record_00695 value_715
record_00696 value_752
record_00697 value_789
record_00698 value_826
record_00699 value_863
record_00700 value_900
record_00701 value_937
record_00702 value_974
record_00703 value_011
record_00704 value_048
record_00705 value_085
record_00706 value_122
record_00707 value_159
record_00708 value_196
record_00709 value_233
record_00710 value_270
record_00711 value_307
record_00712 value_344
record_00713 value_381
record_00714 value_418
record_00715 value_455
record_00716 value_492
record_00717 value_529
record_00718 value_566
record_00719 value_603
record_00720 value_640
record_00721 value_677
record_00722 value_714
record_00723 value_751
record_00724 value_788
record_00725 value_825
record_00726 value_862
record_00727 value_899
record_00728 value_936
record_00729 value_973
record_00730 value_010
record_00731 value_047
record_00732 value_084
record_00733 value_121
record_00734 value_158
record_00735 value_195
record_00736 value_232
record_00737 value_269
record_00738 value_306
record_00739 value_343
record_00740 value_380
record_00741 value_417
record_00742 value_454
record_00743 value_491
record_00744 value_528
record_00745 value_565
record_00746 value_602
record_00747 value_639
record_00748 value_676
record_00749 value_713
record_00750 value_750
record_00751 value_787
record_00752 value_824
record_00753 value_861
record_00754 value_898
record_00755 value_935
record_00756 value_972
record_00757 value_009
record_00758 value_046
record_00759 value_083
record_00760 value_120
record_00761 value_157
record_00762 value_194
record_00763 value_231
record_00764 value_268
record_00765 value_305
record_00766 value_342
record_00767 value_379
record_00768 value_416
record_00769 value_453
record_00770 value_490
record_00771 value_527
record_00772 value_564
record_00773 value_601
record_00774 value_638
record_00775 value_675
record_00776 value_712
record_00777 value_749
record_00778 value_786
record_00779 value_823
record_00780 value_860
record_00781 value_897
record_00782 value_934
record_00783 value_971
record_00784 value_008
record_00785 value_045
record_00786 value_082
record_00787 value_119
record_00788 value_156
record_00789 value_193
record_00790 value_230
record_00791 value_267
record_00792 value_304
record_00793 value_341
record_00794 value_378
record_00795 value_415
record_00796 value_452
record_00797 value_489
record_00798 value_526
record_00799 value_563
record_00800 value_600
record_00801 value_637
record_00802 value_674
record_00803 value_711
record_00804 value_748
record_00805 value_785
record_00806 value_822
record_00807 value_859
record_00808 value_896
record_00809 value_933
record_00810 value_970
record_00811 value_007
record_00812 value_044
record_00813 value_081
record_00814 value_118
record_00815 value_155
record_00816 value_192
record_00817 value_229
record_00818 value_266
record_00819 value_303
record_00820 value_340
record_00821 value_377
record_00822 value_414
record_00823 value_451
record_00824 value_488
record_00825 value_525
record_00826 value_562
record_00827 value_599
record_00828 value_636
record_00829 value_673
record_00830 value_710
record_00831 value_747
record_00832 value_784
record_00833 value_821
record_00834 value_858
record_00835 value_895
record_00836 value_932
record_00837 value_969
record_00838 value_006
record_00839 value_043
record_00840 value_080
record_00841 value_117
record_00842 value_154
record_00843 value_191
record_00844 value_228
record_00845 value_265
record_00846 value_302
record_00847 value_339
record_00848 value_376
record_00849 value_413
record_00850 value_450
record_00851 value_487
record_00852 value_524
record_00853 value_561
record_00854 value_598
record_00855 value_635
record_00856 value_672
record_00857 value_709
record_00858 value_746
record_00859 value_783
record_00860 value_820
record_00861 value_857
record_00862 value_894
record_00863 value_931
record_00864 value_968
record_00865 value_005
record_00866 value_042
record_00867 value_079
record_00868 value_116
record_00869 value_153
record_00870 value_190
record_00871 value_227
record_00872 value_264
record_00873 value_301
record_00874 value_338
record_00875 value_375
record_00876 value_412
record_00877 value_449
record_00878 value_486
record_00879 value_523
record_00880 value_560
record_00881 value_597
record_00882 value_634
record_00883 value_671
record_00884 value_708
record_00885 value_745
record_00886 value_782
record_00887 value_819
record_00888 value_856
record_00889 value_893
record_00890 value_930
record_00891 value_967
record_00892 value_004
record_00893 value_041
record_00894 value_078
record_00895 value_115
record_00896 value_152
record_00897 value_189
record_00898 value_226
record_00899 value_263
record_00900 value_300
record_00901 value_337
record_00902 value_374
record_00903 value_411
record_00904 value_448
record_00905 value_485
record_00906 value_522
record_00907 value_559
record_00908 value_596
record_00909 value_633
record_00910 value_670
record_00911 value_707
record_00912 value_744
record_00913 value_781
record_00914 value_818
record_00915 value_855
record_00916 value_892
record_00917 value_929
record_00918 value_966
record_00919 value_003
record_00920 value_040
record_00921 value_077
record_00922 value_114
record_00923 value_151
record_00924 value_188
record_00925 value_225
record_00926 value_262
record_00927 value_299
record_00928 value_336
record_00929 value_373
record_00930 value_410
record_00931 value_447
record_00932 value_484
record_00933 value_521
record_00934 value_558
record_00935 value_595
record_00936 value_632
record_00937 value_669
record_00938 value_706
record_00939 value_743
record_00940 value_780
record_00941 value_817
record_00942 value_854
record_00943 value_891
record_00944 value_928
record_00945 value_965
record_00946 value_002
record_00947 value_039
record_00948 value_076
record_00949 value_113
record_00950 value_150
record_00951 value_187
record_00952 value_224
record_00953 value_261
record_00954 value_298
record_00955 value_335
record_00956 value_372
record_00957 value_409
record_00958 value_446
record_00959 value_483
record_00960 value_520
record_00961 value_557
record_00962 value_594
record_00963 value_631
record_00964 value_668
record_00965 value_705
record_00966 value_742
record_00967 value_779
record_00968 value_816
record_00969 value_853
record_00970 value_890
record_00971 value_927
record_00972 value_964
record_00973 value_001
record_00974 value_038
record_00975 value_075
record_00976 value_112
record_00977 value_149
record_00978 value_186
record_00979 value_223
record_00980 value_260
record_00981 value_297
record_00982 value_334
record_00983 value_371
record_00984 value_408
record_00985 value_445
record_00986 value_482
record_00987 value_519
record_00988 value_556
record_00989 value_593
record_00990 value_630
record_00991 value_667
record_00992 value_704
record_00993 value_741
record_00994 value_778
record_00995 value_815
record_00996 value_852
record_00997 value_889
record_00998 value_926
record_00999 value_963
record_01000 value_000
record_01001 value_037
record_01002 value_074
record_01003 value_111
record_01004 value_148
record_01005 value_185
record_01006 value_222
record_01007 value_259
record_01008 value_296
record_01009 value_333
record_01010 value_370
record_01011 value_407
record_01012 value_444
record_01013 value_481
record_01014 value_518
record_01015 value_555
record_01016 value_592
record_01017 value_629
record_01018 value_666
record_01019 value_703
record_01020 value_740
record_01021 value_777
record_01022 value_814
record_01023 value_851
record_01024 value_888
record_01025 value_925
record_01026 value_962
record_01027 value_999
record_01028 value_036
record_01029 value_073
record_01030 value_110
record_01031 value_147
record_01032 value_184
record_01033 value_221
record_01034 value_258
record_01035 value_295
record_01036 value_332
record_01037 value_369
record_01038 value_406
record_01039 value_443
record_01040 value_480
record_01041 value_517
record_01042 value_554
record_01043 value_591
record_01044 value_628
record_01045 value_665
record_01046 value_702
record_01047 value_739
record_01048 value_776
record_01049 value_813
record_01050 value_850
record_01051 value_887
record_01052 value_924
record_01053 value_961
record_01054 value_998
record_01055 value_035
record_01056 value_072
record_01057 value_109
record_01058 value_146
record_01059 value_183
record_01060 value_220
record_01061 value_257
record_01062 value_294
record_01063 value_331
record_01064 value_368
record_01065 value_405
record_01066 value_442
record_01067 value_479
record_01068 value_516
record_01069 value_553
record_01070 value_590
record_01071 value_627
record_01072 value_664
record_01073 value_701
record_01074 value_738
record_01075 value_775
record_01076 value_812
record_01077 value_849
record_01078 value_886
record_01079 value_923
record_01080 value_960
record_01081 value_997
record_01082 value_034
record_01083 value_071
record_01084 value_108
record_01085 value_145
record_01086 value_182
record_01087 value_219
record_01088 value_256
record_01089 value_293
record_01090 value_330
record_01091 value_367
record_01092 value_404
record_01093 value_441
record_01094 value_478
record_01095 value_515
record_01096 value_552
record_01097 value_589
record_01098 value_626
record_01099 value_663
record_01100 value_700
record_01101 value_737
record_01102 value_774
record_01103 value_811
record_01104 value_848
record_01105 value_885
record_01106 value_922
record_01107 value_959
record_01108 value_996
record_01109 value_033
record_01110 value_070
record_01111 value_107
record_01112 value_144
record_01113 value_181
record_01114 value_218
record_01115 value_255
record_01116 value_292
record_01117 value_329
record_01118 value_366
record_01119 value_403
record_01120 value_440
record_01121 value_477
record_01122 value_514
record_01123 value_551
record_01124 value_588
record_01125 value_625
record_01126 value_662
record_01127 value_699
record_01128 value_736
record_01129 value_773
record_01130 value_810
record_01131 value_847
record_01132 value_884
record_01133 value_921
record_01134 value_958
record_01135 value_995
record_01136 value_032
record_01137 value_069
record_01138 value_106
record_01139 value_143
record_01140 value_180
record_01141 value_217
record_01142 value_254
record_01143 value_291
record_01144 value_328
record_01145 value_365
record_01146 value_402
record_01147 value_439
record_01148 value_476
record_01149 value_513
record_01150 value_550
record_01151 value_587
record_01152 value_624
record_01153 value_661
record_01154 value_698
record_01155 value_735
record_01156 value_772
record_01157 value_809
record_01158 value_846
record_01159 value_883
record_01160 value_920
record_01161 value_957
record_01162 value_994
record_01163 value_031
record_01164 value_068
record_01165 value_105
record_01166 value_142
record_01167 value_179
record_01168 value_216
record_01169 value_253
record_01170 value_290
record_01171 value_327
record_01172 value_364
record_01173 value_401
record_01174 value_438
record_01175 value_475
record_01176 value_512
record_01177 value_549
record_01178 value_586
record_01179 value_623
record_01180 value_660
record_01181 value_697
record_01182 value_734
record_01183 value_771
record_01184 value_808
record_01185 value_845
record_01186 value_882
record_01187 value_919
record_01188 value_956
record_01189 value_993
record_01190 value_030
record_01191 value_067
record_01192 value_104
record_01193 value_141
record_01194 value_178
record_01195 value_215
record_01196 value_252
record_01197 value_289
record_01198 value_326
record_01199 value_363
record_01200 value_400
record_01201 value_437
record_01202 value_474
record_01203 value_511
record_01204 value_548
record_01205 value_585
record_01206 value_622
record_01207 value_659
record_01208 value_696
record_01209 value_733
record_01210 value_770
record_01211 value_807
record_01212 value_844
record_01213 value_881
record_01214 value_918
record_01215 value_955
record_01216 value_992
record_01217 value_029
record_01218 value_066
record_01219 value_103
record_01220 value_140
record_01221 value_177
record_01222 value_214
record_01223 value_251
record_01224 value_288
record_01225 value_325
record_01226 value_362
record_01227 value_399
record_01228 value_436
record_01229 value_473
record_01230 value_510
record_01231 value_547
record_01232 value_584
record_01233 value_621
record_01234 value_658
record_01235 value_695
record_01236 value_732
record_01237 value_769
record_01238 value_806
record_01239 value_843
record_01240 value_880
record_01241 value_917
record_01242 value_954
record_01243 value_991
record_01244 value_028
record_01245 value_065
record_01246 value_102
record_01247 value_139
record_01248 value_176
record_01249 value_213
record_01250 value_250
record_01251 value_287
record_01252 value_324
record_01253 value_361
record_01254 value_398
record_01255 value_435
record_01256 value_472
record_01257 value_509
record_01258 value_546
record_01259 value_583
record_01260 value_620
record_01261 value_657
record_01262 value_694
record_01263 value_731
record_01264 value_768
record_01265 value_805
record_01266 value_842
record_01267 value_879
record_01268 value_916
record_01269 value_953
record_01270 value_990
record_01271 value_027
record_01272 value_064
record_01273 value_101
record_01274 value_138
record_01275 value_175
record_01276 value_212
record_01277 value_249
record_01278 value_286
record_01279 value_323
record_01280 value_360
record_01281 value_397
record_01282 value_434
record_01283 value_471
record_01284 value_508
record_01285 value_545
record_01286 value_582
record_01287 value_619
record_01288 value_656
record_01289 value_693
record_01290 value_730
record_01291 value_767
record_01292 value_804
record_01293 value_841
record_01294 value_878
record_01295 value_915
record_01296 value_952
record_01297 value_989
record_01298 value_026
record_01299 value_063
record_01300 value_100
record_01301 value_137
record_01302 value_174
record_01303 value_211
record_01304 value_248
record_01305 value_285
record_01306 value_322
record_01307 value_359
record_01308 value_396
record_01309 value_433
record_01310 value_470
record_01311 value_507
record_01312 value_544
record_01313 value_581
record_01314 value_618
record_01315 value_655
record_01316 value_692
record_01317 value_729
record_01318 value_766
record_01319 value_803
record_01320 value_840
record_01321 value_877
record_01322 value_914
record_01323 value_951
record_01324 value_988
record_01325 value_025
record_01326 value_062
record_01327 value_099
record_01328 value_136
record_01329 value_173
record_01330 value_210
record_01331 value_247
record_01332 value_284
record_01333 value_321
record_01334 value_358
record_01335 value_395
record_01336 value_432
record_01337 value_469
record_01338 value_506
record_01339 value_543
record_01340 value_580
record_01341 value_617
record_01342 value_654
record_01343 value_691
record_01344 value_728
record_01345 value_765
record_01346 value_802
record_01347 value_839
record_01348 value_876
record_01349 value_913
record_01350 value_950
record_01351 value_987
record_01352 value_024
record_01353 value_061
record_01354 value_098
record_01355 value_135
record_01356 value_172
record_01357 value_209
record_01358 value_246
record_01359 value_283
record_01360 value_320
record_01361 value_357
record_01362 value_394
record_01363 value_431
record_01364 value_468
record_01365 value_505
record_01366 value_542
record_01367 value_579
record_01368 value_616
record_01369 value_653
record_01370 value_690
record_01371 value_727
record_01372 value_764
record_01373 value_801
record_01374 value_838
record_01375 value_875
record_01376 value_912
record_01377 value_949
record_01378 value_986
record_01379 value_023
record_01380 value_060
record_01381 value_097
record_01382 value_134
record_01383 value_171
record_01384 value_208
record_01385 value_245
record_01386 value_282
record_01387 value_319
record_01388 value_356
record_01389 value_393
record_01390 value_430
record_01391 value_467
record_01392 value_504
record_01393 value_541
record_01394 value_578
record_01395 value_615
record_01396 value_652
record_01397 value_689
record_01398 value_726
record_01399 value_763
record_01400 value_800
record_01401 value_837
record_01402 value_874
record_01403 value_911
record_01404 value_948
record_01405 value_985
record_01406 value_022
record_01407 value_059
record_01408 value_096
record_01409 value_133
record_01410 value_170
record_01411 value_207
record_01412 value_244
record_01413 value_281
record_01414 value_318
record_01415 value_355
record_01416 value_392
record_01417 value_429
record_01418 value_466
record_01419 value_503
record_01420 value_540
record_01421 value_577
record_01422 value_614
record_01423 value_651
record_01424 value_688
record_01425 value_725
record_01426 value_762
record_01427 value_799
record_01428 value_836
record_01429 value_873
record_01430 value_910
record_01431 value_947
record_01432 value_984
record_01433 value_021
record_01434 value_058
record_01435 value_095
record_01436 value_132
record_01437 value_169
record_01438 value_206
record_01439 value_243
record_01440 value_280
record_01441 value_317
record_01442 value_354
record_01443 value_391
record_01444 value_428
record_01445 value_465
record_01446 value_502
record_01447 value_539
record_01448 value_576
record_01449 value_613
record_01450 value_650
record_01451 value_687
record_01452 value_724
record_01453 value_761
record_01454 value_798
record_01455 value_835
record_01456 value_872
record_01457 value_909
record_01458 value_946
record_01459 value_983
record_01460 value_020
record_01461 value_057
record_01462 value_094
record_01463 value_131
record_01464 value_168
record_01465 value_205
record_01466 value_242
record_01467 value_279
record_01468 value_316
record_01469 value_353
record_01470 value_390
record_01471 value_427
record_01472 value_464
record_01473 value_501
record_01474 value_538
record_01475 value_575
record_01476 value_612
record_01477 value_649
record_01478 value_686
record_01479 value_723
record_01480 value_760
record_01481 value_797
record_01482 value_834
record_01483 value_871
record_01484 value_908
record_01485 value_945
record_01486 value_982
record_01487 value_019
record_01488 value_056
record_01489 value_093
record_01490 value_130
record_01491 value_167
record_01492 value_204
record_01493 value_241
record_01494 value_278
record_01495 value_315
record_01496 value_352
record_01497 value_389
record_01498 value_426
record_01499 value_463
record_01500 value_500
record_01501 value_537
record_01502 value_574
record_01503 value_611
record_01504 value_648
record_01505 value_685
record_01506 value_722
record_01507 value_759
record_01508 value_796
record_01509 value_833
record_01510 value_870
record_01511 value_907
record_01512 value_944
record_01513 value_981
record_01514 value_018
record_01515 value_055
record_01516 value_092
record_01517 value_129
record_01518 value_166
record_01519 value_203
record_01520 value_240
record_01521 value_277
record_01522 value_314
record_01523 value_351
record_01524 value_388
record_01525 value_425
record_01526 value_462
record_01527 value_499
record_01528 value_536
record_01529 value_573
record_01530 value_610
record_01531 value_647
record_01532 value_684
record_01533 value_721
record_01534 value_758
record_01535 value_795
record_01536 value_832
record_01537 value_869
record_01538 value_906
record_01539 value_943
record_01540 value_980
record_01541 value_017
record_01542 value_054
record_01543 value_091
record_01544 value_128
record_01545 value_165
record_01546 value_202
record_01547 value_239
record_01548 value_276
record_01549 value_313
record_01550 value_350
record_01551 value_387
record_01552 value_424
record_01553 value_461
record_01554 value_498
